time,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6
2018-01-01,52.483570765056164,53.42367798331715,46.79352507847873,63.52677390921309,43.72205334404412,55.10941491014887
2018-01-02,53.41752708677444,63.73235239792885,58.718387657097786,66.68143797094572,66.8055390921867,63.45451077152588
2018-01-03,58.39470182175113,58.127623288954915,52.38571917738156,75.9803949159103,69.4163728678498,72.16737764475465
2018-01-04,60.0012562627466,51.17506720446884,54.85169014923296,60.158737511643565,62.70634156103695,54.11622725607276
2018-01-05,46.74617944926356,39.656444189036094,49.48049018144241,37.05024780287121,51.08228423849671,36.99951476579555
2018-01-06,43.97599899511875,35.73550818647865,27.373263710758703,13.898848654712697,20.287539078284098,34.205554288641835
2018-01-07,54.08993764373705,60.309757556899086,46.52100259432492,37.45875975369761,41.38892922714714,28.752453483842743
2018-01-08,54.13956475782983,58.04448079553945,54.38087678969947,45.30018753544988,45.07221118486291,48.21366024186785
2018-01-09,52.06342653173445,50.54869959217744,57.758153939757214,60.85719828279925,64.13844960015861,61.08521233233508
2018-01-10,58.17045790871964,52.91154236798283,65.12476618983229,67.39446101046792,84.14063711715673,87.82999193757628
2018-01-11,50.36975586414062,58.469199407545126,69.50888897799227,74.90611115541779,71.86952901807257,58.512386145193375
2018-01-12,45.888263983334,50.178934588347715,50.64157665468129,63.211702569476856,49.98250762185822,41.843507643329296
2018-01-13,46.655581167790125,44.70754043747636,37.507848616869836,35.15249414842222,17.392601233488193,21.39648423279083
2018-01-14,36.925568756302354,41.80977499265569,38.66841382583444,33.673771809243846,30.191032023195593,39.61390279622496
2018-01-15,41.974799820536475,50.54583485217285,52.650068303227584,43.65974003065136,61.511859315161495,53.49634462704117
2018-01-16,51.895151543311336,61.342204689689005,60.45925401056045,72.57600557429264,74.1328002915585,78.1679183286102
2018-01-17,50.687977430933884,62.07884156074576,52.52218103024682,87.21227585063,69.0954789409185,89.57436464218564
2018-01-18,54.55113309258717,42.976593645454784,73.75166119723285,60.525617048511215,69.6754664855294,89.78567818780587
2018-01-19,43.96831380162105,46.22792889516267,47.725306652122235,26.492183049497573,37.85760736162239,51.94371470337727
2018-01-20,38.67413507795241,37.01395721532653,41.35987973193227,40.31998848685825,47.34858600432794,26.433968410465035
2018-01-21,54.10835345009618,45.09550462806513,41.04821215366185,46.81306338511604,50.24275964285361,33.63529289636781
2018-01-22,49.75679697851699,69.91120021389878,48.083928960871916,41.92152429129237,61.48742941955344,52.18050082754411
2018-01-23,55.32856415096025,62.27705528655514,63.85033219203926,71.76266620472381,87.94405601542948,71.60620059563388
2018-01-24,48.91066562658662,60.37548879394885,57.16382395080087,78.07390875802831,81.26787923216196,81.52633768427326
2018-01-25,50.53809167567264,62.51212879670522,76.49383007460307,63.42610552759512,74.35504778087777,63.31910706037073
2018-01-26,49.34088773725709,51.18731455600846,39.08760133721954,40.69575763594912,59.494818735656104,51.904012567801075
2018-01-27,40.25615511615834,45.32275742608657,32.43328128550457,44.575610541048945,35.30027055865124,18.90532619281179
2018-01-28,48.931595695059066,48.36026728256549,39.448690979335645,37.18169834382153,35.92338065635829,49.21822893372804
2018-01-29,48.152906110365194,65.00876842014533,63.31566028857848,44.1956235153277,42.57729790295522,67.21734196505288
2018-01-30,53.80019980265694,53.95143051627848,66.31489910991446,55.41337981687993,76.80211038014507,83.56334177406649
2018-01-31,53.290843321397944,65.75759354341173,60.760024767634754,85.99844918928967,89.93736880058536,89.29299907472894
2018-02-01,62.783491323562274,52.076510465141546,70.3795456641637,70.380610663538,77.80461798064219,67.68697275984556
2018-02-02,48.977910773281344,52.27189048513114,53.88241825710732,49.150447175159165,52.547953477931486,50.273009917909434
2018-02-03,40.97862007977091,37.93165705955944,44.45330858661176,34.33866819521574,30.01747293219082,42.68211569175598
2018-02-04,51.41871501419455,42.85031690200296,48.55857052573929,37.57714363546303,22.211633971731064,31.0199907996561
